Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name,key,rank
53.4,61.7,63.4,40,20.1,73.4,12.82051282,Osaka University,130,130
53.4,32.9,48.3,79.1,54.23,27.4,4.651162791,University of Victoria,131,130
53.3,60.3,62.5,41.2,20.1,82.3,20,Tohoku University,132,132
53.3,52.4,41.4,64.3,46.2,79.8,3.205128205,University of Freiburg,133,132
53.3,48.6,59.8,54.8,31.7,51.72624113,8.620689655,University of Iowa,134,132
52.7,39.9,42.1,73.1,66.6,41.5,9.009009009,University of Bergen,135,135
52.6,43.1,50.5,59.1,84.1,42.5,7.633587786,University of Lausanne,136,136
52.5,48.9,49.2,58.4,62.7,40.3,6.451612903,University of Sheffield,137,137
52.4,56.1,49.4,51.9,54.23,51.72624113,4.926108374,University of Montreal,138,138
52.3,47.6,51.6,58.5,30.6,81.4,6.134969325,VU University Amsterdam,139,139
52.2,51.9,37.2,71.5,30.7,26.4,11.49425287,Pierre and Marie Curie University,140,140
52.2,34.1,41,79.3,54.4,49.3,6.535947712,University of Dundee,141,140
52.1,34.1,33.7,91.9,22.3,30,8.196721311,University of Barcelona,142,142
52,43.4,53,58.8,52.6,55.3,6.493506494,Utrecht University,143,143
51.9,58.5,48.8,53,24.3,51.72624113,5.882352941,Wageningen University and Research Center,144,144
51.8,34.8,39.2,71.8,94.3,61.1,5.291005291,University of Auckland,145,145
51.8,50.3,50.7,52.1,73.8,34.8,6.097560976,University of Birmingham,146,145
51.6,29.5,28,99.8,19.3,36,4.291845494,Alexandria University,147,147
51.6,49.6,62.2,40.7,77.9,39.5,5.494505495,Uppsala University,148,147
51.4,39.4,45.7,62.4,82.9,57.2,3.861003861,Hong Kong Polytechnic University,149,149
51.4,37.8,45.2,64.6,86.1,47,6.329113924,University of Aberdeen,150,149
51.3,55.5,67.7,29,47.4,99.4,5.154639175,Delft University of Technology,151,151
51.2,41.2,35.8,70.6,88.5,27.4,5.813953488,Birkbeck  University of London,152,152
51.2,42.7,42.8,63.6,80.5,31.1,6.578947368,Newcastle University,153,152
51.2,49.5,48.9,51.2,70.7,60,3.861003861,University of New South Wales,154,152
51.1,35,33,84.7,44.1,40,5.464480874,Pompeu Fabra University,155,155
